448; 00.469.941/0004-11; WN RECICLA LTDA - ME; SAO PAULO; SAO PAULO; 2012; Outros resíduos não perigosos; Outros; 140; Tonelada; 01.864.215/0001-13 - LORENE IMPORTAÇÃO E EXPORTAÇÃO LTDA; Ativa
449; 00.469.941/0004-11; WN RECICLA LTDA - ME; SAO PAULO; SAO PAULO; 2012; Sucata de metais ferrosos; Outros; 130; Tonelada; 43.981.919/0001-16 - INVERNADA COM. DE SUCATAS LTDA.; Ativa
450; 00.469.941/0004-11; WN RECICLA LTDA - ME; SAO PAULO; SAO PAULO; 2012; Sucata de metais não ferrosos (latão, etc.); Outros; 130; Tonelada; 43.981.919/0001-16 - INVERNADA COM. DE SUCATAS LTDA.; Ativa
1196; 01.864.215/0001-13; LORENE IMPORTAÇÃO E EXPORTAÇÃO LTDA; SAO PAULO; SAO PAULO; 2012; Acumuladores de energia (baterias, pilhas, assemelhados); Outros; 28; kilogramas; 64.815.806/0001-10 - SUZAQUIM INDÚSTRIAS QUÍMICAS LTDA.; Ativa
1197; 01.864.215/0001-13; LORENE IMPORTAÇÃO E EXPORTAÇÃO LTDA; SAO PAULO; SAO PAULO; 2012; Lämpadas fluorescentes (vapor de mercúrio ou sódio); Outros; 9452; kilogramas; 54.097.159/0002-86 - APLIQUIM INDUSTRIA COMERCIO E SERVIÇOS LTDA; Ativa
1198; 01.864.215/0001-13; LORENE IMPORTAÇÃO E EXPORTAÇÃO LTDA; SAO PAULO; SAO PAULO; 2012; Óleo lubrificante usado; Outros; 600; kilogramas; 68.377.894/0001-77 - QUÍMICA INDUSTRIAL SUPPLY LTDA; Ativa
1199; 01.864.215/0001-13; LORENE IMPORTAÇÃO E EXPORTAÇÃO LTDA; SAO PAULO; SAO PAULO; 2012; Óleo lubrificante usado; Outros; 644; Litro; 68.377.894/0001-77 - QUÍMICA INDUSTRIAL SUPPLY LTDA; Ativa
1200; 01.864.215/0001-13; LORENE IMPORTAÇÃO E EXPORTAÇÃO LTDA; SAO PAULO;  SAO PAULO; 2012; Sucata de metais ferrosos; Outros; 82059; kilogramas; 69.023.232/0002-42 - PASCHOAL DOURADO & FILHO COMÉRCIO DE METAIS LTDA; Ativa
1660; 02.363.605/0001-72; SIR COMPANY COMÉRCIO E RECICLAGEM LTDA; SAO PAULO; SAO PAULO; 2012; Outros; Outros; 1670; kilogramas; 02.320.006/0004-14 - GE SUPPLY DO BRASIL LTDA; Ativa
1661; 02.363.605/0001-72; SIR COMPANY COMÉRCIO E RECICLAGEM LTDA; SAO PAULO; SAO PAULO; 2012; Outros resíduos não perigosos; Outros; 280610; kilogramas; 77.388.007/0001-57 - BOTICA COMERCIAL FARMACEUTICA LTDA; Ativa
1662; 02.363.605/0001-72; SIR COMPANY COMÉRCIO E RECICLAGEM LTDA; SAO PAULO; SAO PAULO; 2012; Outros resíduos não perigosos; Outros; 7118; kilogramas; 04.088.208/0001-65 - CENTRO DE GESTÃO DE MEIOS DE PAGAMENTOS S/A; Ativa
1663; 02.363.605/0001-72; SIR COMPANY COMÉRCIO E RECICLAGEM LTDA; SAO PAULO; SAO PAULO; 2012; Outros resíduos não perigosos; Outros; 21115; kilogramas; kilogramas	00.029.372/0003-02 - GE HEALTHCARE DO BRASIL COMERCIO E SERVICOS PARA E; Ativa
1664; 02.363.605/0001-72; SIR COMPANY COMÉRCIO E RECICLAGEM LTDA; SAO PAULO; SAO PAULO; 2012; Outros resíduos não perigosos; Outros; 2680; kilogramas; 49.520.521/0001-69 - INTERMED EQUIPAMENTO MÉDICO HOSPITALAR LTDA.; Ativa
1665; 02.363.605/0001-72; SIR COMPANY COMÉRCIO E RECICLAGEM LTDA; SAO PAULO; SAO PAULO; 2012; Outros resíduos não perigosos; Outros; 14587; kilogramas; 04.932.216/0001-46 - MINERAÇÃO RIO DO NORTE S.A; Ativa
1666; 02.363.605/0001-72; SIR COMPANY COMÉRCIO E RECICLAGEM LTDA; SAO PAULO; SAO PAULO; 2012; Outros resíduos não perigosos; Outros; 101240; kilogramas; 58.295.213/0001-78 - Philips Medical Systems Ltda; Ativa
1667; 02.363.605/0001-72; SIR COMPANY COMÉRCIO E RECICLAGEM LTDA; SAO PAULO; SAO PAULO; 2012; Outros resíduos não perigosos; Outros; 4561; kilogramas; 05.758.913/0001-95 - PLANTRONICS TELECOMUNICACOES LTDA; Ativa
1668; 02.363.605/0001-72; SIR COMPANY COMÉRCIO E RECICLAGEM LTDA; SAO PAULO; SAO PAULO; 2012; Outros resíduos não perigosos; Outros; 15880; kilogramas; 44.013.159/0002-05 - SIEMENS LTDA.; Ativa
1669; 02.363.605/0001-72; SIR COMPANY COMÉRCIO E RECICLAGEM LTDA; SAO PAULO; SAO PAULO; 2012; Outros resíduos não perigosos; Outros; 2350; kilogramas; 61.257.077/0001-36 - STM MAQUINAS E SERVICOS LTDA; Ativa
2482; 03.311.334/0001-74; SK PRINT EMBALAGENS LTDA; SAO PAULO; SAO PAULO; 2012; Resíduo de papel e papelão; Outros; 4600; kilogramas; 67.872.861/0001-30 - REPANA COMERCIAL LTDA; Suspenso para Averiguações - dados cadastrais inconsistentes e_ou recadastramento
2602; 03.464.149/0001-10; AMERICAN TRASH LTDA; SAO PAULO; SAO PAULO; 2012; Resíduo de papel e papelão; Outros; 475; Ton. por ano; 58.910.316/0001-09 - INDUSTRIAS DE PAPEL R RAMENZONI SA; Suspenso para Averiguações - dados cadastrais inconsistentes e_ou recadastramento
2603; 03.464.149/0001-10; AMERICAN TRASH LTDA; SAO PAULO; SAO PAULO; 2012; Resíduo de restaurante(restos de alimentos); Compostagem; 25; Ton. por ano; 01.814.778/0001-05 - COMPFERTIL INDUSTRIA E COMERCIO DE COMPOSTO ORGÂNICO LTDA; Suspenso para Averiguações - dados cadastrais inconsistentes e_ou recadastramento
2604; 03.464.149/0001-10; AMERICAN TRASH LTDA; SAO PAULO; SAO PAULO; 2013; Resíduo de papel e papelão; Outros; 400; Ton. por ano; 43.123.272/0002-72 - UNIPEL INDUSTRIA E COMERCIO LTDA; Suspenso para Averiguações - dados cadastrais inconsistentes e_ou recadastramento
2605; 03.464.149/0001-10; AMERICAN TRASH LTDA; SAO PAULO; SAO PAULO; 2013; Resíduo de restaurante(restos de alimentos); Compostagem; 16; Ton. por ano; 01.814.778/0001-05 - COMPFERTIL INDUSTRIA E COMERCIO DE COMPOSTO ORGÂNICO LTDA; Suspenso para Averiguações - dados cadastrais inconsistentes e_ou recadastramento
2732; 03.592.043/0001-00; MIR AMBIENTAL LTDA; SAO PAULO; SAO PAULO; 2012; Resíduo de papel e papelão; Outros; 3; Ton. por ano; 96.439.286/0001-85 - FLACIPEL COMERCIO DE APARAS E SUCATAS LTDA; Ativa
2798; 03.749.826/0001-46; SAN LIEN EXP & IMP LTDA; SAO PAULO; SAO PAULO; 2012; Outros resíduos não perigosos; Outros; 20000; kilogramas; 74.404.229/0005-51 - FLEXTRONICS INTERNATIONAL TECNOLOGIA LTDA; Ativa
2799; 03.749.826/0001-46; SAN LIEN EXP & IMP LTDA; SAO PAULO; SAO PAULO; 2012; Sucata de metais não ferrosos (latão, etc.); Outros; 500; Tonelada; 74.404.229/0001-28 - FLEXTRONICS INTERNATIONAL TECNOLOGIA LTDA; Ativa
2800; 03.749.826/0001-46; SAN LIEN EXP & IMP LTDA; SAO PAULO; SAO PAULO; 2012; Sucata de metais não ferrosos (latão, etc.); Outros; 5000; Tonelada; 74.404.229/0001-28 - FLEXTRONICS INTERNATIONAL TECNOLOGIA LTDA; Ativa
